,Inns,NO,Runs,High,Ave,100,50,Rank,HighNO,StartYear,EndYear,Team,Batsman1,Batsman1ID,Batsman2,Batsman2ID
0,176,3,8227,258,47.55,26,29,1,False,1992,2007,INDIA,SC Ganguly,28779,SR Tendulkar,35320
1,151,7,5992,179,41.61,15,32,2,False,2000,2015,Asia/SL,DPMD Jayawardene,49289,KC Sangakkara,50710
2,108,6,5475,210,53.67,20,19,3,True,2000,2015,SL,TM Dilshan,48472,KC Sangakkara,50710
3,144,5,5462,237,39.29,14,26,4,False,1996,2007,SL,MS Atapattu,48124,ST Jayasuriya,49209
4,117,3,5409,172,47.44,16,29,5,False,2000,2008,AUS,AC Gilchrist,5390,ML Hayden,5616
5,103,4,5206,192,52.58,15,25,6,True,1979,1991,WI,CG Greenidge,51901,DL Haynes,52047
6,80,5,4878,246,65.04,18,15,7,False,2010,2020,INDIA,V Kohli,253802,RG Sharma,34102
7,109,1,4847,210,44.87,16,14,8,False,2011,2020,INDIA,S Dhawan,28235,RG Sharma,34102
8,114,2,4387,182,39.16,13,18,9,False,2001,2012,INDIA,V Sehwag,35263,SR Tendulkar,35320
9,88,1,4363,318,50.14,11,18,10,False,1996,2007,Asia/INDIA,R Dravid,28114,SC Ganguly,28779
10,95,3,4300,282,46.73,11,15,11,True,2013,2019,SA,HM Amla,43906,Q de Kock,379143
11,98,5,4117,331,44.26,11,14,12,False,1996,2009,INDIA,R Dravid,28114,SR Tendulkar,35320
12,99,7,4082,162,44.36,8,22,13,False,1998,2007,PAK,Inzamam-ul-Haq,40570,Mohammad Yousuf,43650
13,97,1,3992,206,41.58,8,20,14,False,1997,2002,AUS,AC Gilchrist,5390,ME Waugh,8189
14,88,4,3942,161,46.92,12,17,15,False,1992,2003,ZIM,A Flower,55427,GW Flower,55429
15,103,6,3908,167,40.28,9,21,16,False,1984,1994,WI,DL Haynes,52047,RB Richardson,52810
16,118,3,3814,193,33.16,9,17,17,False,1995,2007,NZ,NJ Astle,36185,SP Fleming,37000
17,69,3,3812,206,57.75,14,16,18,False,2010,2019,NZ,LRPL Taylor,38699,KS Williamson,277906
18,96,1,3807,212,40.07,8,26,19,False,1986,1992,AUS,DC Boon,4169,GR Marsh,6499
19,105,3,3802,153,37.27,8,18,20,False,1984,1999,SL,PA de Silva,48462,A Ranatunga,50244
20,84,1,3607,187,43.45,11,15,21,False,2002,2009,SA,HH Gibbs,45224,GC Smith,47270
21,81,4,3607,225,46.84,8,20,22,False,1997,2008,AUS/ICC,AC Gilchrist,5390,RT Ponting,7133
22,73,10,3585,196,56.9,9,18,23,True,2005,2018,INDIA,MS Dhoni,28081,SK Raina,33335
23,86,2,3517,173,41.86,5,23,24,False,1990,2000,PAK,Aamer Sohail,38967,Saeed Anwar,42605
24,78,6,3514,175,48.8,8,19,25,False,1989,2000,INDIA,M Azharuddin,26329,SR Tendulkar,35320
25,73,6,3514,219,52.44,10,15,26,False,2001,2008,AUS,ML Hayden,5616,RT Ponting,7133
26,83,6,3430,226,44.54,4,22,27,False,1998,2007,SL,MS Atapattu,48124,DPMD Jayawardene,49289
27,77,1,3367,282,44.3,9,14,28,False,2005,2015,SL,TM Dilshan,48472,WU Tharanga,50747
28,112,2,3352,129,30.47,6,19,29,False,1993,2004,SL,ST Jayasuriya,49209,RS Kaluwitharana,49361
29,65,1,3297,258,51.51,10,14,30,True,2014,2020,AUS,AJ Finch,5334,DA Warner,219889
30,69,4,3166,179,48.7,9,12,31,False,1997,2010,SA,HH Gibbs,45224,JH Kallis,45789
31,74,5,3120,198,45.21,12,8,32,False,2013,2020,ENG,EJG Morgan,24598,JE Root,303669
32,45,2,3111,238,72.34,12,8,33,False,2008,2018,SA,HM Amla,43906,AB de Villiers,44936
33,67,7,3105,256,51.75,10,13,34,False,2005,2017,Asia/INDIA,MS Dhoni,28081,Yuvraj Singh,36084
34,84,5,3094,148,39.16,6,19,35,False,2007,2019,BDESH,Mushfiqur Rahim,56029,Shakib Al Hasan,56143
35,52,3,3066,212,62.57,9,16,36,False,2011,2020,INDIA,S Dhawan,28235,V Kohli,253802
36,69,5,3060,222,47.81,5,18,37,False,1994,2002,AUS,MG Bevan,4144,SR Waugh,8192
37,69,2,3055,163,45.59,7,18,38,False,2010,2020,NZ,MJ Guptill,226492,KS Williamson,277906
38,65,3,3033,219,48.91,6,18,39,False,1995,2002,AUS,RT Ponting,7133,ME Waugh,8189
39,62,4,3015,234,51.98,8,14,40,True,1998,2006,AUS,DR Martyn,6513,RT Ponting,7133
40,68,2,2950,167,44.69,9,12,41,False,2000,2010,PAK,Mohammad Yousuf,43650,Younis Khan,43652
41,82,0,2925,205,35.67,6,16,42,False,2009,2020,IRE,WTS Porterfield,24611,PR Stirling,303427
42,68,5,2906,235,46.12,9,12,43,False,1996,2003,SA,HH Gibbs,45224,G Kirsten,45813
43,82,3,2849,179,36.06,4,18,44,False,2002,2015,SL,TM Dilshan,48472,DPMD Jayawardene,49289
44,64,3,2824,193,46.29,6,17,45,False,1999,2010,WI,S Chanderpaul,51469,CH Gayle,51880
45,64,4,2780,146,46.33,7,15,46,False,2000,2007,SL,MS Atapattu,48124,KC Sangakkara,50710
46,64,4,2737,166,45.61,8,14,47,True,2009,2016,NZ,MJ Guptill,226492,BB McCullum,37737
47,57,4,2719,161,51.3,11,9,48,False,2003,2011,AUS,MJ Clarke,4578,RT Ponting,7133
48,67,3,2663,133,41.6,5,17,49,False,2000,2009,INDIA,R Dravid,28114,Yuvraj Singh,36084
49,61,13,2658,219,55.37,7,16,50,False,2007,2017,SA,AB de Villiers,44936,JP Duminy,44932
